fragment_id,candidate_type,expected_path_length,expected_nodes_visited,expected_context_tokens,expected_reasoning_steps,ambiguity_penalty,cross_branch_jump_penalty,missing_evidence_penalty,trace_complexity,citation_locality,trace_clarity,tree_complexity,total_cost,objective_J,num_nodes,max_depth
frag_00025,class_objective_tree,2.0,5.0,24.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3023,0.1298,5,2
frag_00025,hybrid_optimized_tree,2.0,4.0,19.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2207,-0.0343,4,2
frag_00027,source_order_tree,1.5,3.0,38.0,1.0,0.0,0.0,0.0,0.333,0.5,0.75,0.25,0.2097,0.0222,3,2
frag_00027,evidence_role_tree,2.0,5.0,44.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3223,0.1498,5,2
frag_00027,question_intent_tree,2.0,4.0,39.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2407,-0.0143,4,2
frag_00027,class_objective_tree,2.0,5.0,44.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3223,0.1498,5,2
frag_00027,hybrid_optimized_tree,2.0,4.0,39.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2407,-0.0143,4,2
frag_00028,source_order_tree,1.5,3.0,18.0,1.0,0.0,0.0,0.0,0.333,0.5,0.75,0.25,0.1897,0.0022,3,2
frag_00028,evidence_role_tree,2.0,5.0,24.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3023,0.1298,5,2
frag_00028,question_intent_tree,2.0,4.0,19.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2207,-0.0343,4,2
frag_00028,class_objective_tree,2.0,5.0,24.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3023,0.1298,5,2
frag_00028,hybrid_optimized_tree,2.0,4.0,19.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2207,-0.0343,4,2
frag_00029,source_order_tree,1.0,2.0,12.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1128,-0.1861,2,1
frag_00029,evidence_role_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00029,question_intent_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00029,class_objective_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00029,hybrid_optimized_tree,1.0,2.0,10.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1108,-0.1881,2,1
frag_00034,source_order_tree,1.0,2.0,12.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1128,-0.1861,2,1
frag_00034,evidence_role_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00034,question_intent_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00034,class_objective_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00034,hybrid_optimized_tree,1.0,2.0,10.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1108,-0.1881,2,1
frag_00037,source_order_tree,1.0,2.0,12.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1128,-0.1861,2,1
frag_00037,evidence_role_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00037,question_intent_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00037,class_objective_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00037,hybrid_optimized_tree,1.0,2.0,10.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1108,-0.1881,2,1
frag_00041,source_order_tree,1.0,2.0,30.0,1.0,0.0,0.0,0.5,0.167,1.0,0.857,0.15,0.1808,-0.1181,2,1
frag_00041,evidence_role_tree,2.0,3.0,33.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2697,0.0072,3,2
frag_00041,question_intent_tree,2.0,3.0,33.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2697,0.0072,3,2
frag_00041,class_objective_tree,2.0,3.0,33.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2697,0.0072,3,2
frag_00041,hybrid_optimized_tree,1.0,2.0,28.0,1.0,0.0,0.0,0.5,0.167,1.0,0.857,0.15,0.1788,-0.1201,2,1
frag_00043,source_order_tree,1.0,2.0,13.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1138,-0.1851,2,1
frag_00043,evidence_role_tree,2.0,3.0,16.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2027,-0.0598,3,2
frag_00043,question_intent_tree,2.0,3.0,16.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2027,-0.0598,3,2
frag_00043,class_objective_tree,2.0,3.0,16.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2027,-0.0598,3,2
frag_00043,hybrid_optimized_tree,1.0,2.0,11.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1118,-0.1871,2,1
frag_00047,source_order_tree,1.5,3.0,51.0,1.0,0.0,0.0,0.0,0.333,0.5,0.75,0.25,0.2227,0.0352,3,2
frag_00047,evidence_role_tree,2.0,5.0,57.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3353,0.1628,5,2
frag_00047,question_intent_tree,2.0,4.0,52.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2537,-0.0013,4,2
frag_00047,class_objective_tree,2.0,5.0,57.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3353,0.1628,5,2
frag_00047,hybrid_optimized_tree,2.0,4.0,52.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2537,-0.0013,4,2
frag_00048,source_order_tree,1.0,2.0,12.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1128,-0.1861,2,1
frag_00048,evidence_role_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00048,question_intent_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00048,class_objective_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00048,hybrid_optimized_tree,1.0,2.0,10.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1108,-0.1881,2,1
frag_00049,source_order_tree,1.0,2.0,12.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1128,-0.1861,2,1
frag_00049,evidence_role_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00049,question_intent_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00049,class_objective_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00049,hybrid_optimized_tree,1.0,2.0,10.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1108,-0.1881,2,1
frag_00066,source_order_tree,1.5,3.0,18.0,1.0,0.0,0.0,0.0,0.333,0.5,0.75,0.25,0.1897,0.0022,3,2
frag_00066,evidence_role_tree,2.0,5.0,24.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3023,0.1298,5,2
frag_00066,question_intent_tree,2.0,4.0,19.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2207,-0.0343,4,2
frag_00066,class_objective_tree,2.0,5.0,24.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3023,0.1298,5,2
frag_00066,hybrid_optimized_tree,2.0,4.0,19.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2207,-0.0343,4,2
frag_00071,source_order_tree,1.0,2.0,30.0,1.0,0.0,0.0,0.5,0.167,1.0,0.857,0.15,0.1808,-0.1181,2,1
frag_00071,evidence_role_tree,2.0,3.0,33.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2697,0.0072,3,2
frag_00071,question_intent_tree,2.0,3.0,33.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2697,0.0072,3,2
frag_00071,class_objective_tree,2.0,3.0,33.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2697,0.0072,3,2
frag_00071,hybrid_optimized_tree,1.0,2.0,28.0,1.0,0.0,0.0,0.5,0.167,1.0,0.857,0.15,0.1788,-0.1201,2,1
frag_00072,source_order_tree,1.838,3.118,38.4,1.559,0.0,0.0,0.221,0.5,0.721,0.667,0.35,0.2606,0.0717,4,3
frag_00072,evidence_role_tree,2.0,4.118,28.5,2.559,0.0,0.559,0.221,0.333,0.721,0.75,0.45,0.2957,0.1051,7,2
frag_00072,question_intent_tree,2.0,3.559,25.7,2.0,0.0,0.0,0.221,0.333,1.0,0.75,0.4,0.2489,0.0089,6,2
frag_00072,class_objective_tree,2.0,3.559,25.7,2.0,0.0,0.0,0.221,0.333,1.0,0.75,0.4,0.2489,0.0089,6,2
frag_00072,hybrid_optimized_tree,1.559,3.118,23.5,1.559,0.0,0.0,0.221,0.333,1.0,0.75,0.35,0.2123,-0.0352,5,2
frag_00084,source_order_tree,1.217,2.217,14.2,1.217,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.144,-0.1185,3,2
frag_00084,evidence_role_tree,2.0,3.0,15.4,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.35,0.2071,-0.0404,5,2
frag_00084,question_intent_tree,2.0,3.0,15.4,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.35,0.2071,-0.0404,5,2
frag_00084,class_objective_tree,2.0,3.0,15.4,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.35,0.2071,-0.0404,5,2
frag_00084,hybrid_optimized_tree,1.0,2.0,10.4,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.2,0.1138,-0.1777,3,1
frag_00085,source_order_tree,1.0,2.0,12.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1128,-0.1861,2,1
frag_00085,evidence_role_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00085,question_intent_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00085,class_objective_tree,2.0,3.0,15.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2017,-0.0608,3,2
frag_00085,hybrid_optimized_tree,1.0,2.0,10.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1108,-0.1881,2,1
frag_00092,source_order_tree,2.947,4.447,31.6,2.447,0.0,0.0,0.0,0.667,0.5,0.6,0.45,0.3348,0.2073,5,4
frag_00092,evidence_role_tree,2.0,5.0,26.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.55,0.3143,0.1718,9,2
frag_00092,question_intent_tree,2.0,4.0,21.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.45,0.2302,-0.0023,7,2
frag_00092,class_objective_tree,2.0,4.0,21.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.45,0.2302,-0.0023,7,2
frag_00092,hybrid_optimized_tree,2.0,4.0,21.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.45,0.2302,-0.0023,7,2
frag_00099,source_order_tree,1.5,3.0,19.0,1.0,0.0,0.0,0.0,0.333,0.5,0.75,0.25,0.1907,0.0032,3,2
frag_00099,evidence_role_tree,2.0,5.0,25.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3033,0.1308,5,2
frag_00099,question_intent_tree,2.0,4.0,20.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2217,-0.0333,4,2
frag_00099,class_objective_tree,2.0,4.0,20.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2217,-0.0333,4,2
frag_00099,hybrid_optimized_tree,2.0,4.0,20.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2217,-0.0333,4,2
frag_00104,source_order_tree,1.5,3.0,21.0,1.0,0.0,0.0,0.0,0.333,0.5,0.75,0.25,0.1927,0.0052,3,2
frag_00104,evidence_role_tree,2.0,5.0,27.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3053,0.1328,5,2
frag_00104,question_intent_tree,2.0,4.0,22.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2237,-0.0313,4,2
frag_00104,class_objective_tree,2.0,4.0,22.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2237,-0.0313,4,2
frag_00104,hybrid_optimized_tree,2.0,4.0,22.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2237,-0.0313,4,2
frag_00110,source_order_tree,1.0,2.0,14.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1148,-0.1841,2,1
frag_00110,evidence_role_tree,2.0,3.0,17.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2037,-0.0588,3,2
frag_00110,question_intent_tree,2.0,3.0,17.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2037,-0.0588,3,2
frag_00110,class_objective_tree,2.0,3.0,17.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2037,-0.0588,3,2
frag_00110,hybrid_optimized_tree,1.0,2.0,12.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1128,-0.1861,2,1
frag_00125,source_order_tree,1.5,3.0,19.0,1.0,0.0,0.0,0.0,0.333,0.5,0.75,0.25,0.1907,0.0032,3,2
frag_00125,evidence_role_tree,2.0,5.0,25.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3033,0.1308,5,2
frag_00125,question_intent_tree,2.0,4.0,20.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2217,-0.0333,4,2
frag_00125,class_objective_tree,2.0,4.0,20.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2217,-0.0333,4,2
frag_00125,hybrid_optimized_tree,2.0,4.0,20.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2217,-0.0333,4,2
frag_00129,source_order_tree,1.0,2.0,30.0,1.0,0.0,0.0,0.5,0.167,1.0,0.857,0.15,0.1808,-0.1181,2,1
frag_00129,evidence_role_tree,2.0,3.0,33.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2697,0.0072,3,2
frag_00129,question_intent_tree,2.0,3.0,33.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2697,0.0072,3,2
frag_00129,class_objective_tree,2.0,3.0,33.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2697,0.0072,3,2
frag_00129,hybrid_optimized_tree,1.0,2.0,28.0,1.0,0.0,0.0,0.5,0.167,1.0,0.857,0.15,0.1788,-0.1201,2,1
frag_00131,source_order_tree,1.838,3.118,40.1,1.559,0.0,0.0,0.221,0.5,0.721,0.667,0.35,0.2623,0.0733,4,3
frag_00131,evidence_role_tree,2.0,4.118,30.2,2.559,0.0,0.559,0.221,0.333,0.721,0.75,0.45,0.2974,0.1068,7,2
frag_00131,question_intent_tree,2.0,3.559,27.4,2.0,0.0,0.0,0.221,0.333,1.0,0.75,0.4,0.2506,0.0106,6,2
frag_00131,class_objective_tree,2.0,3.559,27.4,2.0,0.0,0.0,0.221,0.333,1.0,0.75,0.4,0.2506,0.0106,6,2
frag_00131,hybrid_optimized_tree,1.559,3.118,25.2,1.559,0.0,0.0,0.221,0.333,1.0,0.75,0.35,0.2139,-0.0336,5,2
frag_00133,source_order_tree,1.0,2.0,30.0,1.0,0.0,0.0,0.5,0.167,1.0,0.857,0.15,0.1808,-0.1181,2,1
frag_00133,evidence_role_tree,2.0,3.0,33.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2697,0.0072,3,2
frag_00133,question_intent_tree,2.0,3.0,33.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2697,0.0072,3,2
frag_00133,class_objective_tree,2.0,3.0,33.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2697,0.0072,3,2
frag_00133,hybrid_optimized_tree,1.0,2.0,28.0,1.0,0.0,0.0,0.5,0.167,1.0,0.857,0.15,0.1788,-0.1201,2,1
frag_00137,source_order_tree,2.725,4.225,60.8,2.225,0.0,0.0,0.0,0.667,0.5,0.6,0.45,0.3479,0.2204,5,4
frag_00137,evidence_role_tree,2.0,5.0,38.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.55,0.3264,0.1839,9,2
frag_00137,question_intent_tree,2.0,4.0,33.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.45,0.2422,0.0097,7,2
frag_00137,class_objective_tree,2.0,4.388,35.0,2.388,0.0,0.388,0.0,0.333,0.806,0.75,0.5,0.2754,0.0795,8,2
frag_00137,hybrid_optimized_tree,2.0,4.0,33.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.45,0.2422,0.0097,7,2
frag_00139,source_order_tree,1.5,3.0,18.0,1.0,0.0,0.0,0.0,0.333,0.5,0.75,0.25,0.1897,0.0022,3,2
frag_00139,evidence_role_tree,2.0,5.0,24.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3023,0.1298,5,2
frag_00139,question_intent_tree,2.0,4.0,19.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2207,-0.0343,4,2
frag_00139,class_objective_tree,2.0,5.0,24.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3023,0.1298,5,2
frag_00139,hybrid_optimized_tree,2.0,4.0,19.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2207,-0.0343,4,2
frag_00140,source_order_tree,1.0,2.0,11.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1118,-0.1871,2,1
frag_00140,evidence_role_tree,2.0,3.0,14.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2007,-0.0618,3,2
frag_00140,question_intent_tree,2.0,3.0,14.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2007,-0.0618,3,2
frag_00140,class_objective_tree,2.0,3.0,14.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2007,-0.0618,3,2
frag_00140,hybrid_optimized_tree,1.0,2.0,9.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1098,-0.1891,2,1
frag_00150,source_order_tree,1.5,3.0,27.0,1.0,0.0,0.0,0.0,0.333,0.5,0.75,0.25,0.1987,0.0112,3,2
frag_00150,evidence_role_tree,2.0,5.0,33.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3113,0.1388,5,2
frag_00150,question_intent_tree,2.0,4.0,28.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2297,-0.0253,4,2
frag_00150,class_objective_tree,2.0,4.0,28.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2297,-0.0253,4,2
frag_00150,hybrid_optimized_tree,2.0,4.0,28.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2297,-0.0253,4,2
frag_00157,source_order_tree,1.0,2.0,24.0,1.0,0.0,0.0,0.5,0.167,1.0,0.857,0.15,0.1748,-0.1241,2,1
frag_00157,evidence_role_tree,2.0,3.0,27.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2637,0.0012,3,2
frag_00157,question_intent_tree,2.0,3.0,27.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2637,0.0012,3,2
frag_00157,class_objective_tree,2.0,3.0,27.0,2.0,0.0,0.0,0.5,0.333,1.0,0.75,0.25,0.2637,0.0012,3,2
frag_00157,hybrid_optimized_tree,1.0,2.0,22.0,1.0,0.0,0.0,0.5,0.167,1.0,0.857,0.15,0.1728,-0.1261,2,1
frag_00160,source_order_tree,1.5,3.0,21.0,1.0,0.0,0.0,0.0,0.333,0.5,0.75,0.25,0.1927,0.0052,3,2
frag_00160,evidence_role_tree,2.0,5.0,27.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3053,0.1328,5,2
frag_00160,question_intent_tree,2.0,4.0,22.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2237,-0.0313,4,2
frag_00160,class_objective_tree,2.0,4.0,22.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2237,-0.0313,4,2
frag_00160,hybrid_optimized_tree,2.0,4.0,22.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.3,0.2237,-0.0313,4,2
frag_00164,source_order_tree,2.142,3.642,27.4,1.642,0.0,0.0,0.0,0.667,0.5,0.6,0.45,0.2722,0.1447,5,4
frag_00164,evidence_role_tree,2.0,5.0,28.2,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.55,0.3166,0.1741,9,2
frag_00164,question_intent_tree,2.0,4.0,23.2,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.45,0.2324,-0.0001,7,2
frag_00164,class_objective_tree,2.0,4.0,23.2,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.45,0.2324,-0.0001,7,2
frag_00164,hybrid_optimized_tree,2.0,4.0,23.2,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.45,0.2324,-0.0001,7,2
frag_00170,source_order_tree,1.0,2.0,11.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1118,-0.1871,2,1
frag_00170,evidence_role_tree,2.0,3.0,14.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2007,-0.0618,3,2
frag_00170,question_intent_tree,2.0,3.0,14.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2007,-0.0618,3,2
frag_00170,class_objective_tree,2.0,3.0,14.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2007,-0.0618,3,2
frag_00170,hybrid_optimized_tree,1.0,2.0,9.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1098,-0.1891,2,1
frag_00171,source_order_tree,1.0,2.0,13.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1138,-0.1851,2,1
frag_00171,evidence_role_tree,2.0,3.0,16.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2027,-0.0598,3,2
frag_00171,question_intent_tree,2.0,3.0,16.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2027,-0.0598,3,2
frag_00171,class_objective_tree,2.0,3.0,16.0,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.25,0.2027,-0.0598,3,2
frag_00171,hybrid_optimized_tree,1.0,2.0,11.0,1.0,0.0,0.0,0.0,0.167,1.0,0.857,0.15,0.1118,-0.1871,2,1
frag_00174,source_order_tree,1.988,3.317,44.3,1.659,0.0,0.0,0.0,0.5,0.671,0.667,0.35,0.2574,0.076,4,3
frag_00174,evidence_role_tree,2.0,4.317,42.7,2.659,0.0,0.659,0.0,0.333,0.671,0.75,0.45,0.2964,0.1133,7,2
frag_00174,question_intent_tree,2.0,3.659,39.4,2.0,0.0,0.0,0.0,0.333,1.0,0.75,0.4,0.2418,0.0018,6,2
frag_00174,class_objective_tree,2.0,4.317,42.7,2.659,0.0,0.659,0.0,0.333,0.671,0.75,0.45,0.2964,0.1133,7,2
frag_00174,hybrid_optimized_tree,1.659,3.317,37.7,1.659,0.0,0.0,0.0,0.333,1.0,0.75,0.35,0.2128,-0.0347,5,2
frag_00177,source_order_tree,1.5,3.0,20.0,1.0,0.0,0.0,0.0,0.333,0.5,0.75,0.25,0.1917,0.0042,3,2
frag_00177,evidence_role_tree,2.0,5.0,26.0,3.0,0.0,1.0,0.0,0.333,0.5,0.75,0.35,0.3043,0.1318,5,2
