evidence_id,fragment_id,document_id,role,value,source_span,confidence,linked_question_prototypes
ev_00044,frag_00131,doc_0027,value,"$ 93,662","$ 93,662",0.76,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00045,frag_00133,doc_0029,rule,Autodesk continually monitors events and changes in circumstances that could in…,Autodesk continually monitors events and changes in circumstances that could indicate the carrying amounts of its long-…,0.589,"[""qproto_003_rule_lookup""]"
ev_00046,frag_00137,doc_0029,exception,"the awards are subject to market conditions, in which case Autodesk uses a bino…","Valuation allowances are established when necessary to reduce gross deferred tax assets to the amount that is ""more lik…",0.684,"[""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00047,frag_00137,doc_0029,condition,"the awards are subject to market conditions, in which case …","Valuation allowances are established when necessary to reduce gross deferred tax assets to the amount that is ""more lik…",0.684,"[""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00048,frag_00137,doc_0029,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00049,frag_00137,doc_0029,value,$ 13.2,$ 13.2,0.76,"[""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00050,frag_00139,doc_0029,exception,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00051,frag_00139,doc_0029,condition,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00052,frag_00140,doc_0029,amount_threshold,$2.00,$2.00,0.741,"[""qproto_001_threshold_lookup""]"
ev_00053,frag_00150,doc_0031,variance,5.3%,5.3%,0.665,"[""qproto_005_variance_explanation""]"
ev_00054,frag_00150,doc_0031,variance_driver,an increase in customer transactions (F19:,an increase in customer transactions (F19:,0.665,"[""qproto_005_variance_explanation""]"
ev_00055,frag_00157,doc_0031,variance_driver,an increase in customer transactions and items per basket,an increase in customer transactions and items per basket,0.665,"[""qproto_005_variance_explanation""]"
ev_00056,frag_00160,doc_0031,metric,Gross margin,Gross margin,0.76,"[""qproto_002_metric_lookup""]"
ev_00057,frag_00160,doc_0031,value,315.5%,315.5%,0.76,"[""qproto_002_metric_lookup""]"
ev_00058,frag_00164,doc_0031,metric,Gross margin,Gross margin,0.76,"[""qproto_002_metric_lookup"", ""qproto_005_variance_explanation""]"
ev_00059,frag_00164,doc_0031,value,1.3%,1.3%,0.76,"[""qproto_002_metric_lookup"", ""qproto_005_variance_explanation""]"
ev_00060,frag_00164,doc_0031,variance,1.3%,1.3%,0.665,"[""qproto_002_metric_lookup"", ""qproto_005_variance_explanation""]"
ev_00061,frag_00164,doc_0031,variance_driver,refurbishments and acquisitions of hotels,refurbishments and acquisitions of hotels,0.665,"[""qproto_002_metric_lookup"", ""qproto_005_variance_explanation""]"
ev_00062,frag_00170,doc_0033,amount_threshold,$250,$250,0.741,"[""qproto_001_threshold_lookup""]"
ev_00063,frag_00171,doc_0033,amount_threshold,$60 million,$60 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00064,frag_00174,doc_0033,effective_date,"January 3, 2020","January 3, 2020",0.807,"[""qproto_004_exception_lookup"", ""qproto_007_effective_date_lookup""]"
ev_00065,frag_00174,doc_0033,exception,facts and circumstances indicate the hedge may no longer be highly effective,facts and circumstances indicate the hedge may no longer be highly effective,0.684,"[""qproto_004_exception_lookup"", ""qproto_007_effective_date_lookup""]"
ev_00066,frag_00174,doc_0033,condition,facts and circumstances indicate the hedge may no longer be…,"A qualitative assessment of hedge effectiveness is performed on a quarterly basis, unless facts and circumstances indic…",0.684,"[""qproto_004_exception_lookup"", ""qproto_007_effective_date_lookup""]"
ev_00067,frag_00177,doc_0035,region,Global,Global,0.741,"[""qproto_008_threshold_lookup""]"
ev_00068,frag_00177,doc_0035,amount_threshold,$ 5.99,$ 5.99,0.741,"[""qproto_008_threshold_lookup""]"
ev_00069,frag_00181,doc_0037,region,US,US,0.741,"[""qproto_008_threshold_lookup""]"
ev_00070,frag_00181,doc_0037,amount_threshold,$000,$000,0.741,"[""qproto_008_threshold_lookup""]"
ev_00071,frag_00192,doc_0041,amount_threshold,"$278,057,","$278,057,",0.741,"[""qproto_001_threshold_lookup""]"
ev_00072,frag_00196,doc_0041,effective_date,"December 15, 2018","December 15, 2018",0.807,"[""qproto_007_effective_date_lookup""]"
ev_00073,frag_00198,doc_0041,effective_date,"January 1, 2020","January 1, 2020",0.807,"[""qproto_007_effective_date_lookup""]"
ev_00074,frag_00199,doc_0041,amount_threshold,$2.3,$2.3,0.741,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00075,frag_00199,doc_0041,metric,revenue,revenue,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00076,frag_00199,doc_0041,value,$2.3,$2.3,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00077,frag_00200,doc_0043,exception,pages,pages,0.684,"[""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00078,frag_00200,doc_0043,condition,pages,pages,0.684,"[""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00079,frag_00200,doc_0043,metric,Revenue,Revenue,0.76,"[""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00080,frag_00200,doc_0043,value,"$ 13,428","$ 13,428",0.76,"[""qproto_002_metric_lookup"", ""qproto_004_exception_lookup""]"
ev_00081,frag_00204,doc_0043,rule,Controls and Procedures pages.[0].blocks.[9].words.word_list.[0] = Item pages.[…,Controls and Procedures pages.[0].blocks.[9].words.word_list.[0] = Item pages.[0].blocks.[9].words.word_list.[1] = 9A. …,0.589,"[""qproto_003_rule_lookup""]"
ev_00082,frag_00208,doc_0045,amount_threshold,$3.0 million,$3.0 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00083,frag_00210,doc_0045,amount_threshold,$9.76,$9.76,0.741,"[""qproto_001_threshold_lookup""]"
ev_00084,frag_00211,doc_0045,amount_threshold,"$60,000,","$60,000,",0.741,"[""qproto_001_threshold_lookup""]"
ev_00085,frag_00215,doc_0047,variance,6.8%,6.8%,0.665,"[""qproto_005_variance_explanation""]"
ev_00086,frag_00215,doc_0047,variance_driver,"Power Discrete, remained substantially flat in Asia and decreased 8","Power Discrete, remained substantially flat in Asia and decreased 8",0.665,"[""qproto_005_variance_explanation""]"
ev_00087,frag_00216,doc_0047,metric,Gross margin,Gross margin,0.76,"[""qproto_009_metric_lookup""]"
ev_00088,frag_00216,doc_0047,value,6.8%,6.8%,0.76,"[""qproto_009_metric_lookup""]"
ev_00089,frag_00216,doc_0047,period,full year 2018,full year 2018,0.76,"[""qproto_009_metric_lookup""]"
ev_00090,frag_00217,doc_0047,metric,gross margin,gross margin,0.76,"[""qproto_009_metric_lookup""]"
ev_00091,frag_00217,doc_0047,value,$65 million,$65 million,0.76,"[""qproto_009_metric_lookup""]"
ev_00092,frag_00217,doc_0047,period,full year 2017,full year 2017,0.76,"[""qproto_009_metric_lookup""]"
ev_00093,frag_00218,doc_0047,metric,Operating expenses,Operating expenses,0.76,"[""qproto_002_metric_lookup""]"
ev_00094,frag_00218,doc_0047,value,40.0%,40.0%,0.76,"[""qproto_002_metric_lookup""]"
ev_00095,frag_00227,doc_0049,rule,The objective is that the internally set risk margin shall reflect the assessed…,The objective is that the internally set risk margin shall reflect the assessed risk and that the pricing is as close a…,0.589,"[""qproto_003_rule_lookup""]"
ev_00096,frag_00228,doc_0049,rule,A reassessment of the credit rating for each customer finance facility is made …,A reassessment of the credit rating for each customer finance facility is made on a regular basis. pages.[0].blocks.[12…,0.589,"[""qproto_003_rule_lookup""]"
ev_00097,frag_00240,doc_0051,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00098,frag_00240,doc_0051,value,"$4,325,818","$4,325,818",0.76,"[""qproto_002_metric_lookup""]"
ev_00099,frag_00247,doc_0051,sla,30 days,30 days,0.741,"[""qproto_012_sla_lookup""]"
ev_00100,frag_00253,doc_0051,amount_threshold,$25,$25,0.741,"[""qproto_001_threshold_lookup""]"
ev_00101,frag_00262,doc_0053,metric,Revenue,Revenue,0.76,"[""qproto_009_metric_lookup""]"
ev_00102,frag_00262,doc_0053,value,2019 %,2019 %,0.76,"[""qproto_009_metric_lookup""]"
ev_00103,frag_00262,doc_0053,period,FY 2019,FY 2019,0.76,"[""qproto_009_metric_lookup""]"
ev_00104,frag_00263,doc_0053,metric,revenue,revenue,0.76,"[""qproto_009_metric_lookup""]"
ev_00105,frag_00263,doc_0053,value,19%,19%,0.76,"[""qproto_009_metric_lookup""]"
ev_00106,frag_00263,doc_0053,period,FY 2019,FY 2019,0.76,"[""qproto_009_metric_lookup""]"
ev_00107,frag_00264,doc_0053,variance_driver,expanding participation in our customers’ growth and transformation i…,"This was largely an outcome of greater demand for our services and solutions during the year, driven by expanding parti…",0.665,"[""qproto_005_variance_explanation""]"
ev_00108,frag_00265,doc_0053,metric,revenue,revenue,0.76,"[""qproto_009_metric_lookup""]"
ev_00109,frag_00265,doc_0053,value,19%,19%,0.76,"[""qproto_009_metric_lookup""]"
ev_00110,frag_00265,doc_0053,period,FY 2019,FY 2019,0.76,"[""qproto_009_metric_lookup""]"
ev_00111,frag_00267,doc_0053,metric,revenue,revenue,0.76,"[""qproto_009_metric_lookup""]"
ev_00112,frag_00267,doc_0053,value,7.6%,7.6%,0.76,"[""qproto_009_metric_lookup""]"
ev_00113,frag_00267,doc_0053,period,FY 2019,FY 2019,0.76,"[""qproto_009_metric_lookup""]"
ev_00114,frag_00268,doc_0053,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00115,frag_00268,doc_0053,value,11.4%,11.4%,0.76,"[""qproto_002_metric_lookup""]"
ev_00116,frag_00269,doc_0053,metric,revenue,revenue,0.76,"[""qproto_009_metric_lookup""]"
ev_00117,frag_00269,doc_0053,value,7.6%,7.6%,0.76,"[""qproto_009_metric_lookup""]"
ev_00118,frag_00269,doc_0053,period,FY 2019,FY 2019,0.76,"[""qproto_009_metric_lookup""]"
ev_00119,frag_00270,doc_0053,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00120,frag_00270,doc_0053,value,11.6%,11.6%,0.76,"[""qproto_002_metric_lookup""]"
ev_00121,frag_00274,doc_0055,exception,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00122,frag_00274,doc_0055,condition,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00123,frag_00279,doc_0055,amount_threshold,$8.1,$8.1,0.741,"[""qproto_001_threshold_lookup""]"
ev_00124,frag_00281,doc_0055,amount_threshold,$9.8 million,$9.8 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00125,frag_00284,doc_0057,metric,Revenue,Revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00126,frag_00284,doc_0057,value,7 %,7 %,0.76,"[""qproto_002_metric_lookup""]"
ev_00127,frag_00285,doc_0057,variance_driver,several large orders in the onshore business mainly in the U,several large orders in the onshore business mainly in the U,0.665,"[""qproto_005_variance_explanation""]"
ev_00128,frag_00289,doc_0057,variance_driver,the U,the U,0.665,"[""qproto_005_variance_explanation""]"
ev_00129,frag_00290,doc_0057,variance_driver,growth in the U,growth in the U,0.665,"[""qproto_005_variance_explanation""]"
ev_00130,frag_00297,doc_0057,scope,the stated audience,Financial Services will continue to focus its business scope on areas of intense domain know-how. pages.[0].blocks.[21]…,0.665,"[""qproto_006_applicability_check""]"
ev_00131,frag_00297,doc_0057,audience,the stated audience,Financial Services will continue to focus its business scope on areas of intense domain know-how. pages.[0].blocks.[21]…,0.665,"[""qproto_006_applicability_check""]"
ev_00132,frag_00300,doc_0059,amount_threshold,"$11,746,","$11,746,",0.741,"[""qproto_001_threshold_lookup""]"
ev_00133,frag_00300,doc_0059,amount_threshold,"$9,440","$9,440",0.741,"[""qproto_001_threshold_lookup""]"
ev_00134,frag_00302,doc_0059,amount_threshold,"$ 2,207","$ 2,207",0.741,"[""qproto_001_threshold_lookup""]"
ev_00135,frag_00309,doc_0061,exception,the stated condition,"At 30 June 2019, the carrying amount and contractual cash flows is $25,153,000 (2018: $33,978,000). pages.[0].blocks.[1…",0.684,"[""qproto_004_exception_lookup""]"
ev_00136,frag_00309,doc_0061,condition,the stated condition,"At 30 June 2019, the carrying amount and contractual cash flows is $25,153,000 (2018: $33,978,000). pages.[0].blocks.[1…",0.684,"[""qproto_004_exception_lookup""]"
ev_00137,frag_00316,doc_0063,region,Global,Global,0.741,"[""qproto_008_threshold_lookup""]"
ev_00138,frag_00316,doc_0063,amount_threshold,$ 91.30,$ 91.30,0.741,"[""qproto_008_threshold_lookup""]"
ev_00139,frag_00318,doc_0063,scope,the stated audience,Our dividend is subject to the discretion and pages.[0].blocks.[30].words.word_list.[0] = Dividends. pages.[0].blocks.[…,0.665,"[""qproto_006_applicability_check""]"
ev_00140,frag_00318,doc_0063,audience,the stated audience,Our dividend is subject to the discretion and pages.[0].blocks.[30].words.word_list.[0] = Dividends. pages.[0].blocks.[…,0.665,"[""qproto_006_applicability_check""]"
ev_00141,frag_00320,doc_0063,amount_threshold,$175.7 million,$175.7 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00142,frag_00326,doc_0065,exception,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00143,frag_00326,doc_0065,condition,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00144,frag_00343,doc_0069,variance_driver,"the Cyence acquisition, as well as a $2","the Cyence acquisition, as well as a $2",0.665,"[""qproto_005_variance_explanation""]"
ev_00145,frag_00346,doc_0069,amount_threshold,$6.6 million,$6.6 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00146,frag_00347,doc_0069,amount_threshold,$1.4,$1.4,0.741,"[""qproto_001_threshold_lookup""]"
ev_00147,frag_00349,doc_0069,exception,pages,pages,0.684,"[""qproto_003_rule_lookup"", ""qproto_004_exception_lookup""]"
ev_00148,frag_00349,doc_0069,condition,pages,pages,0.684,"[""qproto_003_rule_lookup"", ""qproto_004_exception_lookup""]"
ev_00149,frag_00349,doc_0069,rule,General and administrative headcount pages.[0].blocks.[20].words.word_list.[0] …,General and administrative headcount pages.[0].blocks.[20].words.word_list.[0] = Our pages.[0].blocks.[20].words.word_l…,0.589,"[""qproto_003_rule_lookup"", ""qproto_004_exception_lookup""]"
ev_00150,frag_00359,doc_0073,variance_driver,successes in Phase 2 SBIR awards,successes in Phase 2 SBIR awards,0.665,"[""qproto_005_variance_explanation""]"
ev_00151,frag_00360,doc_0073,amount_threshold,"$ 16,684,172","$ 16,684,172",0.741,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_005_variance_explanation""]"
ev_00152,frag_00360,doc_0073,metric,revenue,revenue,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_005_variance_explanation""]"
ev_00153,frag_00360,doc_0073,value,"$ 16,684,172","$ 16,684,172",0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_005_variance_explanation""]"
ev_00154,frag_00360,doc_0073,variance,106.5%,106.5%,0.665,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_005_variance_explanation""]"
ev_00155,frag_00360,doc_0073,variance_driver,increases in direct labor and subcontractor costs consistent with the…,"As Phase 2 SBIR contracts generally have a performance period of a year or more, we currently expect Technology Develop…",0.665,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup"", ""qproto_005_variance_explanation""]"
ev_00156,frag_00369,doc_0075,amount_threshold,"$1,361.2 million","$1,361.2 million",0.741,"[""qproto_001_threshold_lookup""]"
ev_00157,frag_00374,doc_0075,amount_threshold,$41.5 million,$41.5 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00158,frag_00375,doc_0075,amount_threshold,"$ 1,361,188","$ 1,361,188",0.741,"[""qproto_001_threshold_lookup""]"
ev_00159,frag_00380,doc_0077,amount_threshold,$674,$674,0.741,"[""qproto_001_threshold_lookup""]"
ev_00160,frag_00381,doc_0077,amount_threshold,$12 million,$12 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00161,frag_00382,doc_0077,amount_threshold,$1.9 million,$1.9 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00162,frag_00389,doc_0077,exception,terminated earlier at the discretion of the Board of Directors,terminated earlier at the discretion of the Board of Directors,0.684,"[""qproto_004_exception_lookup""]"
ev_00163,frag_00389,doc_0077,condition,terminated earlier at the discretion of the Board of Direct…,The ESPP provides for semi-annual offering periods during which shares may be purchased and continues as long as shares…,0.684,"[""qproto_004_exception_lookup""]"
ev_00164,frag_00390,doc_0077,amount_threshold,"$25,000","$25,000",0.741,"[""qproto_001_threshold_lookup"", ""qproto_004_exception_lookup""]"
ev_00165,frag_00390,doc_0077,exception,pages,pages,0.684,"[""qproto_001_threshold_lookup"", ""qproto_004_exception_lookup""]"
ev_00166,frag_00390,doc_0077,condition,pages,pages,0.684,"[""qproto_001_threshold_lookup"", ""qproto_004_exception_lookup""]"
ev_00167,frag_00393,doc_0079,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00168,frag_00393,doc_0079,value,$ 26,$ 26,0.76,"[""qproto_002_metric_lookup""]"
ev_00169,frag_00397,doc_0079,amount_threshold,$1.2 million,$1.2 million,0.741,"[""qproto_001_threshold_lookup""]"
ev_00170,frag_00398,doc_0079,amount_threshold,"$ 2,962","$ 2,962",0.741,"[""qproto_001_threshold_lookup"", ""qproto_006_applicability_check"", ""qproto_007_effective_date_lookup""]"
ev_00171,frag_00398,doc_0079,effective_date,"March 31, 2017","March 31, 2017",0.807,"[""qproto_001_threshold_lookup"", ""qproto_006_applicability_check"", ""qproto_007_effective_date_lookup""]"
ev_00172,frag_00398,doc_0079,scope,the stated audience,"ASC 740 also provides guidance on derecognition , classification, interest and penalties, accounting in interim periods…",0.665,"[""qproto_001_threshold_lookup"", ""qproto_006_applicability_check"", ""qproto_007_effective_date_lookup""]"
ev_00173,frag_00398,doc_0079,audience,the stated audience,"ASC 740 also provides guidance on derecognition , classification, interest and penalties, accounting in interim periods…",0.665,"[""qproto_001_threshold_lookup"", ""qproto_006_applicability_check"", ""qproto_007_effective_date_lookup""]"
ev_00174,frag_00400,doc_0081,metric,Revenue,Revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00175,frag_00400,doc_0081,value,"$ 214,065","$ 214,065",0.76,"[""qproto_002_metric_lookup""]"
ev_00176,frag_00402,doc_0081,amount_threshold,$0.9 million,$0.9 million,0.741,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00177,frag_00402,doc_0081,metric,Revenue,Revenue,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00178,frag_00402,doc_0081,value,$0.9 million,$0.9 million,0.76,"[""qproto_001_threshold_lookup"", ""qproto_002_metric_lookup""]"
ev_00179,frag_00408,doc_0081,exception,"for acquisition-related deferred revenue adjustments, which are included in “Un…","In addition, the results of operations related to two of the product offerings acquired with the EIS Business (Horizon …",0.684,"[""qproto_004_exception_lookup""]"
ev_00180,frag_00408,doc_0081,condition,"for acquisition-related deferred revenue adjustments, which…","In addition, the results of operations related to two of the product offerings acquired with the EIS Business (Horizon …",0.684,"[""qproto_004_exception_lookup""]"
ev_00181,frag_00409,doc_0081,exception,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00182,frag_00409,doc_0081,condition,pages,pages,0.684,"[""qproto_004_exception_lookup""]"
ev_00183,frag_00415,doc_0083,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00184,frag_00415,doc_0083,value,12%,12%,0.76,"[""qproto_002_metric_lookup""]"
ev_00185,frag_00416,doc_0083,metric,Revenue,Revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00186,frag_00416,doc_0083,value,12%,12%,0.76,"[""qproto_002_metric_lookup""]"
ev_00187,frag_00417,doc_0083,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00188,frag_00417,doc_0083,value,10%,10%,0.76,"[""qproto_002_metric_lookup""]"
ev_00189,frag_00418,doc_0083,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00190,frag_00418,doc_0083,value,11%,11%,0.76,"[""qproto_002_metric_lookup""]"
ev_00191,frag_00419,doc_0083,rule,We perform ongoing credit evaluations of customers worldwide and generally do n…,We perform ongoing credit evaluations of customers worldwide and generally do not require collateral from our customers.,0.589,"[""qproto_003_rule_lookup""]"
ev_00192,frag_00422,doc_0083,rule,"In addition, the potential risk of loss with any one counterparty resulting fro…","In addition, the potential risk of loss with any one counterparty resulting from this type of credit risk is monitored …",0.589,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00193,frag_00422,doc_0083,metric,Revenue,Revenue,0.76,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00194,frag_00422,doc_0083,value,"$ 12,451","$ 12,451",0.76,"[""qproto_002_metric_lookup"", ""qproto_003_rule_lookup""]"
ev_00195,frag_00424,doc_0083,metric,revenue,revenue,0.76,"[""qproto_002_metric_lookup""]"
ev_00196,frag_00424,doc_0083,value,53%,53%,0.76,"[""qproto_002_metric_lookup""]"
ev_00197,frag_00425,doc_0085,scope,the stated audience,pages.[0].bbox.[0] = 0 pages.[0].bbox.[1] = 0 pages.[0].bbox.[2] = 1240 pages.[0].bbox.[3] = 1754 pages.[0].blocks.[0].…,0.665,"[""qproto_006_applicability_check""]"
