source,target,edge_type,weight
qproto_002_metric_lookup,frag_00137,prototype_fragment,0.8
qproto_004_exception_lookup,frag_00139,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_00140,prototype_fragment,0.78
qproto_005_variance_explanation,frag_00150,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00157,prototype_fragment,0.7
qproto_002_metric_lookup,frag_00160,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00164,prototype_fragment,0.8
qproto_005_variance_explanation,frag_00164,prototype_fragment,0.7
qproto_001_threshold_lookup,frag_00170,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00171,prototype_fragment,0.78
qproto_007_effective_date_lookup,frag_00174,prototype_fragment,0.85
qproto_004_exception_lookup,frag_00174,prototype_fragment,0.72
qproto_008_threshold_lookup,frag_00177,prototype_fragment,0.78
qproto_008_threshold_lookup,frag_00181,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00192,prototype_fragment,0.78
qproto_007_effective_date_lookup,frag_00196,prototype_fragment,0.85
qproto_007_effective_date_lookup,frag_00198,prototype_fragment,0.85
qproto_001_threshold_lookup,frag_00199,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00199,prototype_fragment,0.8
qproto_004_exception_lookup,frag_00200,prototype_fragment,0.72
qproto_002_metric_lookup,frag_00200,prototype_fragment,0.8
qproto_003_rule_lookup,frag_00204,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_00208,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00210,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00211,prototype_fragment,0.78
qproto_005_variance_explanation,frag_00215,prototype_fragment,0.7
qproto_009_metric_lookup,frag_00216,prototype_fragment,0.8
qproto_009_metric_lookup,frag_00217,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00218,prototype_fragment,0.8
qproto_003_rule_lookup,frag_00227,prototype_fragment,0.62
qproto_003_rule_lookup,frag_00228,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00240,prototype_fragment,0.8
qproto_012_sla_lookup,frag_00247,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00253,prototype_fragment,0.78
qproto_009_metric_lookup,frag_00262,prototype_fragment,0.8
qproto_009_metric_lookup,frag_00263,prototype_fragment,0.8
qproto_005_variance_explanation,frag_00264,prototype_fragment,0.7
qproto_009_metric_lookup,frag_00265,prototype_fragment,0.8
qproto_009_metric_lookup,frag_00267,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00268,prototype_fragment,0.8
qproto_009_metric_lookup,frag_00269,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00270,prototype_fragment,0.8
qproto_004_exception_lookup,frag_00274,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_00279,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00281,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00284,prototype_fragment,0.8
qproto_005_variance_explanation,frag_00285,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00289,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00290,prototype_fragment,0.7
qproto_006_applicability_check,frag_00297,prototype_fragment,0.7
qproto_001_threshold_lookup,frag_00300,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00300,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00302,prototype_fragment,0.78
qproto_004_exception_lookup,frag_00309,prototype_fragment,0.72
qproto_008_threshold_lookup,frag_00316,prototype_fragment,0.78
qproto_006_applicability_check,frag_00318,prototype_fragment,0.7
qproto_001_threshold_lookup,frag_00320,prototype_fragment,0.78
qproto_004_exception_lookup,frag_00326,prototype_fragment,0.72
qproto_005_variance_explanation,frag_00343,prototype_fragment,0.7
qproto_001_threshold_lookup,frag_00346,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00347,prototype_fragment,0.78
qproto_004_exception_lookup,frag_00349,prototype_fragment,0.72
qproto_003_rule_lookup,frag_00349,prototype_fragment,0.62
qproto_005_variance_explanation,frag_00359,prototype_fragment,0.7
qproto_001_threshold_lookup,frag_00360,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00360,prototype_fragment,0.8
qproto_005_variance_explanation,frag_00360,prototype_fragment,0.7
qproto_001_threshold_lookup,frag_00369,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00374,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00375,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00380,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00381,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00382,prototype_fragment,0.78
qproto_004_exception_lookup,frag_00389,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_00390,prototype_fragment,0.78
qproto_004_exception_lookup,frag_00390,prototype_fragment,0.72
qproto_002_metric_lookup,frag_00393,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00397,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00398,prototype_fragment,0.78
qproto_007_effective_date_lookup,frag_00398,prototype_fragment,0.85
qproto_006_applicability_check,frag_00398,prototype_fragment,0.7
qproto_002_metric_lookup,frag_00400,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00402,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00402,prototype_fragment,0.8
qproto_004_exception_lookup,frag_00408,prototype_fragment,0.72
qproto_004_exception_lookup,frag_00409,prototype_fragment,0.72
qproto_002_metric_lookup,frag_00415,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00416,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00417,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00418,prototype_fragment,0.8
qproto_003_rule_lookup,frag_00419,prototype_fragment,0.62
qproto_003_rule_lookup,frag_00422,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00422,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00424,prototype_fragment,0.8
qproto_006_applicability_check,frag_00425,prototype_fragment,0.7
qproto_006_applicability_check,frag_00426,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00426,prototype_fragment,0.7
qproto_003_rule_lookup,frag_00437,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00437,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00438,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00452,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00452,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00454,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00455,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00456,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00457,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00458,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00458,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00460,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00460,prototype_fragment,0.8
qproto_006_applicability_check,frag_00468,prototype_fragment,0.7
qproto_004_exception_lookup,frag_00468,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_00470,prototype_fragment,0.78
qproto_006_applicability_check,frag_00470,prototype_fragment,0.7
qproto_002_metric_lookup,frag_00470,prototype_fragment,0.8
qproto_004_exception_lookup,frag_00475,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_00476,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00476,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00476,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00479,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00479,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_00480,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00480,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_00486,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00486,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00487,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00490,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00497,prototype_fragment,0.8
qproto_008_threshold_lookup,frag_00499,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00499,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00502,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00502,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00505,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00509,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00509,prototype_fragment,0.8
qproto_006_applicability_check,frag_00533,prototype_fragment,0.7
qproto_004_exception_lookup,frag_00540,prototype_fragment,0.72
qproto_002_metric_lookup,frag_00545,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00546,prototype_fragment,0.78
qproto_006_applicability_check,frag_00553,prototype_fragment,0.7
qproto_003_rule_lookup,frag_00553,prototype_fragment,0.62
qproto_003_rule_lookup,frag_00554,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_00576,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00577,prototype_fragment,0.78
qproto_007_effective_date_lookup,frag_00579,prototype_fragment,0.85
qproto_001_threshold_lookup,frag_00581,prototype_fragment,0.78
qproto_004_exception_lookup,frag_00581,prototype_fragment,0.72
qproto_002_metric_lookup,frag_00581,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00584,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00585,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_00586,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00586,prototype_fragment,0.62
qproto_006_applicability_check,frag_00588,prototype_fragment,0.7
qproto_003_rule_lookup,frag_00588,prototype_fragment,0.62
qproto_006_applicability_check,frag_00590,prototype_fragment,0.7
qproto_006_applicability_check,frag_00592,prototype_fragment,0.7
qproto_010_variance_explanation,frag_00602,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00605,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00609,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00615,prototype_fragment,0.7
qproto_003_rule_lookup,frag_00618,prototype_fragment,0.62
qproto_004_exception_lookup,frag_00619,prototype_fragment,0.72
qproto_003_rule_lookup,frag_00622,prototype_fragment,0.62
qproto_004_exception_lookup,frag_00624,prototype_fragment,0.72
qproto_003_rule_lookup,frag_00624,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_00627,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00627,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00628,prototype_fragment,0.78
qproto_007_effective_date_lookup,frag_00628,prototype_fragment,0.85
qproto_002_metric_lookup,frag_00628,prototype_fragment,0.8
qproto_005_variance_explanation,frag_00632,prototype_fragment,0.7
qproto_007_effective_date_lookup,frag_00635,prototype_fragment,0.85
qproto_005_variance_explanation,frag_00635,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00636,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00641,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00643,prototype_fragment,0.7
qproto_008_threshold_lookup,frag_00645,prototype_fragment,0.78
qproto_005_variance_explanation,frag_00645,prototype_fragment,0.7
qproto_004_exception_lookup,frag_00648,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_00650,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00651,prototype_fragment,0.78
qproto_004_exception_lookup,frag_00656,prototype_fragment,0.72
qproto_004_exception_lookup,frag_00661,prototype_fragment,0.72
qproto_010_variance_explanation,frag_00662,prototype_fragment,0.7
qproto_002_metric_lookup,frag_00662,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00663,prototype_fragment,0.8
qproto_010_variance_explanation,frag_00663,prototype_fragment,0.7
qproto_004_exception_lookup,frag_00664,prototype_fragment,0.72
qproto_010_variance_explanation,frag_00665,prototype_fragment,0.7
qproto_002_metric_lookup,frag_00665,prototype_fragment,0.8
qproto_003_rule_lookup,frag_00666,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00666,prototype_fragment,0.8
qproto_010_variance_explanation,frag_00666,prototype_fragment,0.7
qproto_002_metric_lookup,frag_00667,prototype_fragment,0.8
qproto_005_variance_explanation,frag_00667,prototype_fragment,0.7
qproto_002_metric_lookup,frag_00668,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00671,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00685,prototype_fragment,0.8
qproto_005_variance_explanation,frag_00685,prototype_fragment,0.7
qproto_001_threshold_lookup,frag_00686,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00686,prototype_fragment,0.8
qproto_006_applicability_check,frag_00691,prototype_fragment,0.7
qproto_003_rule_lookup,frag_00691,prototype_fragment,0.62
qproto_008_threshold_lookup,frag_00697,prototype_fragment,0.78
qproto_006_applicability_check,frag_00697,prototype_fragment,0.7
qproto_003_rule_lookup,frag_00697,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00697,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00698,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00699,prototype_fragment,0.8
qproto_004_exception_lookup,frag_00701,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_00702,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00704,prototype_fragment,0.78
qproto_008_threshold_lookup,frag_00706,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00709,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00710,prototype_fragment,0.78
qproto_006_applicability_check,frag_00711,prototype_fragment,0.7
qproto_006_applicability_check,frag_00713,prototype_fragment,0.7
qproto_004_exception_lookup,frag_00714,prototype_fragment,0.72
qproto_004_exception_lookup,frag_00716,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_00719,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00722,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00735,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00735,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00737,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00738,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_00753,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00754,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00759,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00760,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00761,prototype_fragment,0.78
qproto_005_variance_explanation,frag_00764,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00765,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00766,prototype_fragment,0.7
qproto_002_metric_lookup,frag_00769,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00772,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00778,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00779,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00780,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00785,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00790,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00790,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00792,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_00796,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00797,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_00799,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00799,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00808,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00820,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00822,prototype_fragment,0.62
qproto_003_rule_lookup,frag_00826,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00826,prototype_fragment,0.8
qproto_004_exception_lookup,frag_00832,prototype_fragment,0.72
qproto_004_exception_lookup,frag_00833,prototype_fragment,0.72
qproto_004_exception_lookup,frag_00834,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_00835,prototype_fragment,0.78
qproto_004_exception_lookup,frag_00835,prototype_fragment,0.72
qproto_003_rule_lookup,frag_00836,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_00839,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00839,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00849,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00850,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00851,prototype_fragment,0.78
qproto_004_exception_lookup,frag_00851,prototype_fragment,0.72
qproto_002_metric_lookup,frag_00851,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00852,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00854,prototype_fragment,0.78
qproto_004_exception_lookup,frag_00854,prototype_fragment,0.72
qproto_002_metric_lookup,frag_00854,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00861,prototype_fragment,0.8
qproto_010_variance_explanation,frag_00861,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00862,prototype_fragment,0.7
qproto_002_metric_lookup,frag_00869,prototype_fragment,0.8
qproto_004_exception_lookup,frag_00877,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_00880,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00880,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_00881,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00881,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00897,prototype_fragment,0.8
qproto_005_variance_explanation,frag_00902,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00906,prototype_fragment,0.7
qproto_008_threshold_lookup,frag_00907,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00907,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00924,prototype_fragment,0.8
qproto_003_rule_lookup,frag_00931,prototype_fragment,0.62
qproto_006_applicability_check,frag_00933,prototype_fragment,0.7
qproto_008_threshold_lookup,frag_00934,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00934,prototype_fragment,0.62
qproto_003_rule_lookup,frag_00936,prototype_fragment,0.62
qproto_003_rule_lookup,frag_00940,prototype_fragment,0.62
qproto_003_rule_lookup,frag_00942,prototype_fragment,0.62
qproto_004_exception_lookup,frag_00956,prototype_fragment,0.72
qproto_003_rule_lookup,frag_00956,prototype_fragment,0.62
qproto_006_applicability_check,frag_00957,prototype_fragment,0.7
qproto_004_exception_lookup,frag_00957,prototype_fragment,0.72
qproto_003_rule_lookup,frag_00957,prototype_fragment,0.62
qproto_003_rule_lookup,frag_00960,prototype_fragment,0.62
qproto_005_variance_explanation,frag_00962,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00964,prototype_fragment,0.7
qproto_005_variance_explanation,frag_00966,prototype_fragment,0.7
qproto_002_metric_lookup,frag_00967,prototype_fragment,0.8
qproto_002_metric_lookup,frag_00968,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00983,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00983,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_00984,prototype_fragment,0.78
qproto_002_metric_lookup,frag_00984,prototype_fragment,0.8
qproto_003_rule_lookup,frag_00985,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00989,prototype_fragment,0.8
qproto_007_effective_date_lookup,frag_00990,prototype_fragment,0.85
qproto_002_metric_lookup,frag_00990,prototype_fragment,0.8
qproto_007_effective_date_lookup,frag_00992,prototype_fragment,0.85
qproto_008_threshold_lookup,frag_00996,prototype_fragment,0.78
qproto_008_threshold_lookup,frag_00999,prototype_fragment,0.78
qproto_003_rule_lookup,frag_00999,prototype_fragment,0.62
qproto_002_metric_lookup,frag_00999,prototype_fragment,0.8
qproto_004_exception_lookup,frag_01002,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_01003,prototype_fragment,0.78
qproto_004_exception_lookup,frag_01003,prototype_fragment,0.72
qproto_002_metric_lookup,frag_01003,prototype_fragment,0.8
qproto_002_metric_lookup,frag_01013,prototype_fragment,0.8
qproto_012_sla_lookup,frag_01019,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01032,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01033,prototype_fragment,0.78
qproto_006_applicability_check,frag_01040,prototype_fragment,0.7
qproto_003_rule_lookup,frag_01040,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_01042,prototype_fragment,0.78
qproto_008_threshold_lookup,frag_01043,prototype_fragment,0.78
qproto_002_metric_lookup,frag_01043,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_01049,prototype_fragment,0.78
qproto_003_rule_lookup,frag_01051,prototype_fragment,0.62
qproto_003_rule_lookup,frag_01052,prototype_fragment,0.62
qproto_003_rule_lookup,frag_01054,prototype_fragment,0.62
qproto_003_rule_lookup,frag_01055,prototype_fragment,0.62
qproto_002_metric_lookup,frag_01055,prototype_fragment,0.8
qproto_002_metric_lookup,frag_01056,prototype_fragment,0.8
qproto_008_threshold_lookup,frag_01064,prototype_fragment,0.78
qproto_002_metric_lookup,frag_01064,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_01069,prototype_fragment,0.78
qproto_004_exception_lookup,frag_01075,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_01076,prototype_fragment,0.78
qproto_008_threshold_lookup,frag_01077,prototype_fragment,0.78
qproto_003_rule_lookup,frag_01081,prototype_fragment,0.62
qproto_003_rule_lookup,frag_01081,prototype_fragment,0.62
qproto_003_rule_lookup,frag_01082,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_01089,prototype_fragment,0.78
qproto_006_applicability_check,frag_01094,prototype_fragment,0.7
qproto_002_metric_lookup,frag_01098,prototype_fragment,0.8
qproto_005_variance_explanation,frag_01102,prototype_fragment,0.7
qproto_005_variance_explanation,frag_01106,prototype_fragment,0.7
qproto_008_threshold_lookup,frag_01107,prototype_fragment,0.78
qproto_002_metric_lookup,frag_01107,prototype_fragment,0.8
qproto_002_metric_lookup,frag_01116,prototype_fragment,0.8
qproto_005_variance_explanation,frag_01116,prototype_fragment,0.7
qproto_001_threshold_lookup,frag_01118,prototype_fragment,0.78
qproto_005_variance_explanation,frag_01118,prototype_fragment,0.7
qproto_002_metric_lookup,frag_01119,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_01134,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01138,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01139,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01140,prototype_fragment,0.78
qproto_003_rule_lookup,frag_01145,prototype_fragment,0.62
qproto_003_rule_lookup,frag_01146,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_01147,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01153,prototype_fragment,0.78
qproto_004_exception_lookup,frag_01160,prototype_fragment,0.72
qproto_002_metric_lookup,frag_01163,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_01174,prototype_fragment,0.78
qproto_004_exception_lookup,frag_01174,prototype_fragment,0.72
qproto_006_applicability_check,frag_01175,prototype_fragment,0.7
qproto_008_threshold_lookup,frag_01176,prototype_fragment,0.78
qproto_006_applicability_check,frag_01176,prototype_fragment,0.7
qproto_001_threshold_lookup,frag_01178,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01180,prototype_fragment,0.78
qproto_006_applicability_check,frag_01185,prototype_fragment,0.7
qproto_001_threshold_lookup,frag_01187,prototype_fragment,0.78
qproto_006_applicability_check,frag_01187,prototype_fragment,0.7
qproto_008_threshold_lookup,frag_01189,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01190,prototype_fragment,0.78
qproto_004_exception_lookup,frag_01196,prototype_fragment,0.72
qproto_006_applicability_check,frag_01198,prototype_fragment,0.7
qproto_006_applicability_check,frag_01199,prototype_fragment,0.7
qproto_006_applicability_check,frag_01200,prototype_fragment,0.7
qproto_004_exception_lookup,frag_01206,prototype_fragment,0.72
qproto_002_metric_lookup,frag_01207,prototype_fragment,0.8
qproto_002_metric_lookup,frag_01208,prototype_fragment,0.8
qproto_006_applicability_check,frag_01220,prototype_fragment,0.7
qproto_001_threshold_lookup,frag_01221,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01224,prototype_fragment,0.78
qproto_003_rule_lookup,frag_01255,prototype_fragment,0.62
qproto_003_rule_lookup,frag_01257,prototype_fragment,0.62
qproto_003_rule_lookup,frag_01258,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_01267,prototype_fragment,0.78
qproto_004_exception_lookup,frag_01280,prototype_fragment,0.72
qproto_005_variance_explanation,frag_01289,prototype_fragment,0.7
qproto_005_variance_explanation,frag_01290,prototype_fragment,0.7
qproto_001_threshold_lookup,frag_01293,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01295,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01296,prototype_fragment,0.78
qproto_005_variance_explanation,frag_01299,prototype_fragment,0.7
qproto_004_exception_lookup,frag_01300,prototype_fragment,0.72
qproto_004_exception_lookup,frag_01302,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_01308,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01309,prototype_fragment,0.78
qproto_002_metric_lookup,frag_01309,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_01311,prototype_fragment,0.78
qproto_004_exception_lookup,frag_01327,prototype_fragment,0.72
qproto_001_threshold_lookup,frag_01331,prototype_fragment,0.78
qproto_003_rule_lookup,frag_01332,prototype_fragment,0.62
qproto_003_rule_lookup,frag_01341,prototype_fragment,0.62
qproto_001_threshold_lookup,frag_01342,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01343,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01344,prototype_fragment,0.78
qproto_002_metric_lookup,frag_01344,prototype_fragment,0.8
qproto_001_threshold_lookup,frag_01363,prototype_fragment,0.78
qproto_001_threshold_lookup,frag_01364,prototype_fragment,0.78
