tree_id,fragment_id,class_id,selected_candidate_type,optimized_for,expected_path_length,expected_context_tokens,trace_clarity,citation_locality,total_cost,objective_J
tree_frag_00099_v1,frag_00099,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00104_v1,frag_00104,class_003,question_intent_tree,"[""metric_lookup""]",2.0,22.0,0.75,1.0,0.2237,-0.0313
tree_frag_00110_v1,frag_00110,class_001,hybrid_optimized_tree,"[""effective_date_lookup""]",1.0,12.0,0.857,1.0,0.1128,-0.1861
tree_frag_00125_v1,frag_00125,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00129_v1,frag_00129,class_001,hybrid_optimized_tree,"[""rule_lookup""]",1.0,28.0,0.857,1.0,0.1788,-0.1201
tree_frag_00131_v1,frag_00131,class_001,hybrid_optimized_tree,"[""metric_lookup"", ""rule_lookup""]",1.559,25.2,0.75,1.0,0.2139,-0.0336
tree_frag_00133_v1,frag_00133,class_001,hybrid_optimized_tree,"[""rule_lookup""]",1.0,28.0,0.857,1.0,0.1788,-0.1201
tree_frag_00137_v1,frag_00137,class_001,question_intent_tree,"[""exception_lookup"", ""metric_lookup""]",2.0,33.0,0.75,1.0,0.2422,0.0097
tree_frag_00139_v1,frag_00139,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00140_v1,frag_00140,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,9.0,0.857,1.0,0.1098,-0.1891
tree_frag_00150_v1,frag_00150,class_004,question_intent_tree,"[""variance_explanation""]",2.0,28.0,0.75,1.0,0.2297,-0.0253
tree_frag_00157_v1,frag_00157,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,22.0,0.857,1.0,0.1728,-0.1261
tree_frag_00160_v1,frag_00160,class_003,question_intent_tree,"[""metric_lookup""]",2.0,22.0,0.75,1.0,0.2237,-0.0313
tree_frag_00164_v1,frag_00164,class_003,question_intent_tree,"[""metric_lookup"", ""variance_explanation""]",2.0,23.2,0.75,1.0,0.2324,-0.0001
tree_frag_00170_v1,frag_00170,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,9.0,0.857,1.0,0.1098,-0.1891
tree_frag_00171_v1,frag_00171,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00174_v1,frag_00174,class_001,hybrid_optimized_tree,"[""effective_date_lookup"", ""exception_lookup""]",1.659,37.7,0.75,1.0,0.2128,-0.0347
tree_frag_00177_v1,frag_00177,class_005,question_intent_tree,"[""threshold_lookup""]",2.0,21.0,0.75,1.0,0.2227,-0.0323
tree_frag_00181_v1,frag_00181,class_005,question_intent_tree,"[""threshold_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00192_v1,frag_00192,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,10.0,0.857,1.0,0.1108,-0.1881
tree_frag_00196_v1,frag_00196,class_001,hybrid_optimized_tree,"[""effective_date_lookup""]",1.0,12.0,0.857,1.0,0.1128,-0.1861
tree_frag_00198_v1,frag_00198,class_001,hybrid_optimized_tree,"[""effective_date_lookup""]",1.0,12.0,0.857,1.0,0.1128,-0.1861
tree_frag_00199_v1,frag_00199,class_005,hybrid_optimized_tree,"[""metric_lookup"", ""threshold_lookup""]",1.457,14.0,0.75,1.0,0.1721,-0.0754
tree_frag_00200_v1,frag_00200,class_001,question_intent_tree,"[""exception_lookup"", ""metric_lookup""]",2.0,20.2,0.75,1.0,0.2294,-0.0031
tree_frag_00204_v1,frag_00204,class_001,hybrid_optimized_tree,"[""rule_lookup""]",1.0,28.0,0.857,1.0,0.1788,-0.1201
tree_frag_00208_v1,frag_00208,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00210_v1,frag_00210,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,9.0,0.857,1.0,0.1098,-0.1891
tree_frag_00211_v1,frag_00211,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,10.0,0.857,1.0,0.1108,-0.1881
tree_frag_00215_v1,frag_00215,class_004,question_intent_tree,"[""variance_explanation""]",2.0,35.0,0.75,1.0,0.2367,-0.0183
tree_frag_00216_v1,frag_00216,class_003,question_intent_tree,"[""metric_lookup""]",2.0,29.0,0.75,1.0,0.2457,-0.0018
tree_frag_00217_v1,frag_00217,class_003,question_intent_tree,"[""metric_lookup""]",2.0,31.0,0.75,1.0,0.2477,0.0002
tree_frag_00218_v1,frag_00218,class_003,question_intent_tree,"[""metric_lookup""]",2.0,22.0,0.75,1.0,0.2237,-0.0313
tree_frag_00227_v1,frag_00227,class_001,hybrid_optimized_tree,"[""rule_lookup""]",1.0,28.0,0.857,1.0,0.1788,-0.1201
tree_frag_00228_v1,frag_00228,class_001,hybrid_optimized_tree,"[""rule_lookup""]",1.0,28.0,0.857,1.0,0.1788,-0.1201
tree_frag_00240_v1,frag_00240,class_003,question_intent_tree,"[""metric_lookup""]",2.0,21.0,0.75,1.0,0.2227,-0.0323
tree_frag_00247_v1,frag_00247,class_001,hybrid_optimized_tree,"[""sla_lookup""]",1.0,10.0,0.857,1.0,0.1108,-0.1881
tree_frag_00253_v1,frag_00253,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,9.0,0.857,1.0,0.1098,-0.1891
tree_frag_00262_v1,frag_00262,class_003,question_intent_tree,"[""metric_lookup""]",2.0,27.0,0.75,1.0,0.2437,-0.0038
tree_frag_00263_v1,frag_00263,class_003,question_intent_tree,"[""metric_lookup""]",2.0,26.0,0.75,1.0,0.2427,-0.0048
tree_frag_00264_v1,frag_00264,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,26.0,0.857,1.0,0.1768,-0.1221
tree_frag_00265_v1,frag_00265,class_003,question_intent_tree,"[""metric_lookup""]",2.0,26.0,0.75,1.0,0.2427,-0.0048
tree_frag_00267_v1,frag_00267,class_003,question_intent_tree,"[""metric_lookup""]",2.0,26.0,0.75,1.0,0.2427,-0.0048
tree_frag_00268_v1,frag_00268,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00269_v1,frag_00269,class_003,question_intent_tree,"[""metric_lookup""]",2.0,26.0,0.75,1.0,0.2427,-0.0048
tree_frag_00270_v1,frag_00270,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00274_v1,frag_00274,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00279_v1,frag_00279,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,9.0,0.857,1.0,0.1098,-0.1891
tree_frag_00281_v1,frag_00281,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00284_v1,frag_00284,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00285_v1,frag_00285,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,23.0,0.857,1.0,0.1738,-0.1251
tree_frag_00289_v1,frag_00289,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,9.0,0.857,1.0,0.1598,-0.1391
tree_frag_00290_v1,frag_00290,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,12.0,0.857,1.0,0.1628,-0.1361
tree_frag_00297_v1,frag_00297,class_001,question_intent_tree,"[""applicability_check""]",2.0,27.0,0.75,1.0,0.2287,-0.0263
tree_frag_00300_v1,frag_00300,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,10.0,0.857,1.0,0.2133,-0.0781
tree_frag_00302_v1,frag_00302,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,10.0,0.857,1.0,0.1108,-0.1881
tree_frag_00309_v1,frag_00309,class_001,question_intent_tree,"[""exception_lookup""]",2.0,27.0,0.75,1.0,0.2287,-0.0263
tree_frag_00316_v1,frag_00316,class_005,question_intent_tree,"[""threshold_lookup""]",2.0,21.0,0.75,1.0,0.2227,-0.0323
tree_frag_00318_v1,frag_00318,class_001,question_intent_tree,"[""applicability_check""]",2.0,27.0,0.75,1.0,0.2287,-0.0263
tree_frag_00320_v1,frag_00320,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,12.0,0.857,1.0,0.1128,-0.1861
tree_frag_00326_v1,frag_00326,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00343_v1,frag_00343,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,18.0,0.857,1.0,0.1688,-0.1301
tree_frag_00346_v1,frag_00346,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00347_v1,frag_00347,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,9.0,0.857,1.0,0.1098,-0.1891
tree_frag_00349_v1,frag_00349,class_001,hybrid_optimized_tree,"[""exception_lookup"", ""rule_lookup""]",1.777,29.5,0.75,0.703,0.2471,0.0441
tree_frag_00359_v1,frag_00359,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,16.0,0.857,1.0,0.1668,-0.1321
tree_frag_00360_v1,frag_00360,class_005,hybrid_optimized_tree,"[""metric_lookup"", ""threshold_lookup"", ""variance_explanation""]",1.554,19.8,0.75,1.0,0.1935,-0.0315
tree_frag_00369_v1,frag_00369,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,12.0,0.857,1.0,0.1128,-0.1861
tree_frag_00374_v1,frag_00374,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00375_v1,frag_00375,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00380_v1,frag_00380,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,9.0,0.857,1.0,0.1098,-0.1891
tree_frag_00381_v1,frag_00381,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00382_v1,frag_00382,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00389_v1,frag_00389,class_001,question_intent_tree,"[""exception_lookup""]",2.0,48.0,0.75,1.0,0.2497,-0.0053
tree_frag_00390_v1,frag_00390,class_005,hybrid_optimized_tree,"[""exception_lookup"", ""threshold_lookup""]",1.348,13.1,0.75,1.0,0.1619,-0.0856
tree_frag_00393_v1,frag_00393,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00397_v1,frag_00397,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00398_v1,frag_00398,class_005,hybrid_optimized_tree,"[""applicability_check"", ""effective_date_lookup"", ""threshold_lookup""]",1.218,14.0,0.75,1.0,0.1542,-0.0858
tree_frag_00400_v1,frag_00400,class_003,question_intent_tree,"[""metric_lookup""]",2.0,21.0,0.75,1.0,0.2227,-0.0323
tree_frag_00402_v1,frag_00402,class_005,hybrid_optimized_tree,"[""metric_lookup"", ""threshold_lookup""]",1.457,16.0,0.75,1.0,0.1741,-0.0734
tree_frag_00408_v1,frag_00408,class_001,question_intent_tree,"[""exception_lookup""]",2.0,52.0,0.75,1.0,0.2537,-0.0013
tree_frag_00409_v1,frag_00409,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00415_v1,frag_00415,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00416_v1,frag_00416,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00417_v1,frag_00417,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00418_v1,frag_00418,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00419_v1,frag_00419,class_001,hybrid_optimized_tree,"[""rule_lookup""]",1.0,28.0,0.857,1.0,0.1788,-0.1201
tree_frag_00422_v1,frag_00422,class_001,hybrid_optimized_tree,"[""metric_lookup"", ""rule_lookup""]",1.559,24.1,0.75,1.0,0.2128,-0.0347
tree_frag_00424_v1,frag_00424,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00425_v1,frag_00425,class_001,question_intent_tree,"[""applicability_check""]",2.0,27.0,0.75,1.0,0.2287,-0.0263
tree_frag_00426_v1,frag_00426,class_001,question_intent_tree,"[""applicability_check"", ""variance_explanation""]",2.0,31.8,0.75,1.0,0.2409,0.0084
tree_frag_00437_v1,frag_00437,class_001,hybrid_optimized_tree,"[""metric_lookup"", ""rule_lookup""]",1.559,24.1,0.75,1.0,0.2128,-0.0347
tree_frag_00438_v1,frag_00438,class_003,question_intent_tree,"[""metric_lookup""]",2.0,22.0,0.75,1.0,0.2237,-0.0313
tree_frag_00452_v1,frag_00452,class_005,hybrid_optimized_tree,"[""metric_lookup"", ""threshold_lookup""]",1.457,14.0,0.75,1.0,0.1721,-0.0754
tree_frag_00454_v1,frag_00454,class_003,question_intent_tree,"[""metric_lookup""]",2.0,22.0,0.75,1.0,0.2237,-0.0313
tree_frag_00455_v1,frag_00455,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00456_v1,frag_00456,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00457_v1,frag_00457,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00458_v1,frag_00458,class_005,hybrid_optimized_tree,"[""metric_lookup"", ""threshold_lookup""]",1.457,14.0,0.75,1.0,0.1721,-0.0754
tree_frag_00460_v1,frag_00460,class_005,hybrid_optimized_tree,"[""metric_lookup"", ""threshold_lookup""]",1.457,16.0,0.75,1.0,0.1741,-0.0734
tree_frag_00468_v1,frag_00468,class_001,question_intent_tree,"[""applicability_check"", ""exception_lookup""]",2.0,22.2,0.75,1.0,0.2314,-0.0011
tree_frag_00470_v1,frag_00470,class_005,hybrid_optimized_tree,"[""applicability_check"", ""metric_lookup"", ""threshold_lookup""]",1.545,17.0,0.75,1.0,0.19,-0.035
tree_frag_00475_v1,frag_00475,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00476_v1,frag_00476,class_005,hybrid_optimized_tree,"[""metric_lookup"", ""rule_lookup"", ""threshold_lookup""]",1.336,18.5,0.75,1.0,0.182,-0.058
tree_frag_00479_v1,frag_00479,class_005,hybrid_optimized_tree,"[""rule_lookup"", ""threshold_lookup""]",1.0,17.2,0.857,1.0,0.1405,-0.1509
tree_frag_00480_v1,frag_00480,class_005,hybrid_optimized_tree,"[""rule_lookup"", ""threshold_lookup""]",1.0,16.6,0.857,1.0,0.1399,-0.1515
tree_frag_00486_v1,frag_00486,class_005,hybrid_optimized_tree,"[""metric_lookup"", ""threshold_lookup""]",1.457,15.1,0.75,1.0,0.1732,-0.0743
tree_frag_00487_v1,frag_00487,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00490_v1,frag_00490,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00497_v1,frag_00497,class_003,question_intent_tree,"[""metric_lookup""]",2.0,22.0,0.75,1.0,0.2237,-0.0313
tree_frag_00499_v1,frag_00499,class_005,question_intent_tree,"[""metric_lookup"", ""threshold_lookup""]",2.0,20.3,0.75,1.0,0.2294,-0.0031
tree_frag_00502_v1,frag_00502,class_005,hybrid_optimized_tree,"[""metric_lookup"", ""threshold_lookup""]",1.457,16.0,0.75,1.0,0.1741,-0.0734
tree_frag_00505_v1,frag_00505,class_003,question_intent_tree,"[""metric_lookup""]",2.0,22.0,0.75,1.0,0.2237,-0.0313
tree_frag_00509_v1,frag_00509,class_005,hybrid_optimized_tree,"[""metric_lookup"", ""threshold_lookup""]",1.457,15.5,0.75,1.0,0.1735,-0.074
tree_frag_00533_v1,frag_00533,class_001,question_intent_tree,"[""applicability_check""]",2.0,27.0,0.75,1.0,0.2287,-0.0263
tree_frag_00540_v1,frag_00540,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00545_v1,frag_00545,class_003,question_intent_tree,"[""metric_lookup""]",2.0,23.0,0.75,1.0,0.2247,-0.0303
tree_frag_00546_v1,frag_00546,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,10.0,0.857,1.0,0.1108,-0.1881
tree_frag_00553_v1,frag_00553,class_001,hybrid_optimized_tree,"[""applicability_check"", ""rule_lookup""]",1.348,36.4,0.75,1.0,0.2177,-0.0298
tree_frag_00554_v1,frag_00554,class_001,hybrid_optimized_tree,"[""rule_lookup""]",1.0,28.0,0.857,1.0,0.1788,-0.1201
tree_frag_00576_v1,frag_00576,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00577_v1,frag_00577,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,11.0,0.857,1.0,0.1118,-0.1871
tree_frag_00579_v1,frag_00579,class_001,hybrid_optimized_tree,"[""effective_date_lookup""]",1.0,12.0,0.857,1.0,0.1128,-0.1861
tree_frag_00581_v1,frag_00581,class_005,hybrid_optimized_tree,"[""exception_lookup"", ""metric_lookup"", ""threshold_lookup""]",1.579,15.9,0.75,1.0,0.1918,-0.0332
tree_frag_00584_v1,frag_00584,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,9.0,0.857,1.0,0.1098,-0.1891
tree_frag_00585_v1,frag_00585,class_001,hybrid_optimized_tree,"[""rule_lookup""]",1.0,28.0,0.857,1.0,0.1788,-0.1201
tree_frag_00586_v1,frag_00586,class_005,hybrid_optimized_tree,"[""rule_lookup"", ""threshold_lookup""]",1.0,16.6,0.857,1.0,0.1399,-0.1515
tree_frag_00588_v1,frag_00588,class_001,hybrid_optimized_tree,"[""applicability_check"", ""rule_lookup""]",1.348,27.7,0.75,1.0,0.209,-0.0385
tree_frag_00590_v1,frag_00590,class_001,question_intent_tree,"[""applicability_check""]",2.0,27.0,0.75,1.0,0.2287,-0.0263
tree_frag_00592_v1,frag_00592,class_001,question_intent_tree,"[""applicability_check""]",2.0,27.0,0.75,1.0,0.2287,-0.0263
tree_frag_00602_v1,frag_00602,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,28.0,0.857,1.0,0.1288,-0.1701
tree_frag_00605_v1,frag_00605,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,26.0,0.857,1.0,0.1768,-0.1221
tree_frag_00609_v1,frag_00609,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,26.0,0.857,1.0,0.1768,-0.1221
tree_frag_00615_v1,frag_00615,class_004,question_intent_tree,"[""variance_explanation""]",2.0,36.0,0.75,1.0,0.2377,-0.0173
tree_frag_00618_v1,frag_00618,class_001,hybrid_optimized_tree,"[""rule_lookup""]",1.0,28.0,0.857,1.0,0.1788,-0.1201
tree_frag_00619_v1,frag_00619,class_001,question_intent_tree,"[""exception_lookup""]",2.0,27.0,0.75,1.0,0.2287,-0.0263
tree_frag_00622_v1,frag_00622,class_001,hybrid_optimized_tree,"[""rule_lookup""]",1.0,28.0,0.857,1.0,0.1788,-0.1201
tree_frag_00624_v1,frag_00624,class_001,hybrid_optimized_tree,"[""exception_lookup"", ""rule_lookup""]",1.777,35.3,0.75,0.703,0.2528,0.0498
tree_frag_00627_v1,frag_00627,class_005,hybrid_optimized_tree,"[""metric_lookup"", ""threshold_lookup""]",1.457,15.0,0.75,1.0,0.1731,-0.0744
tree_frag_00628_v1,frag_00628,class_005,hybrid_optimized_tree,"[""effective_date_lookup"", ""metric_lookup"", ""threshold_lookup""]",1.398,14.6,0.75,1.0,0.17,-0.07
tree_frag_00632_v1,frag_00632,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,26.0,0.857,1.0,0.1768,-0.1221
tree_frag_00635_v1,frag_00635,class_001,hybrid_optimized_tree,"[""effective_date_lookup"", ""variance_explanation""]",1.59,26.2,0.75,1.0,0.1955,-0.052
tree_frag_00636_v1,frag_00636,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,26.0,0.857,1.0,0.1768,-0.1221
tree_frag_00641_v1,frag_00641,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,26.0,0.857,1.0,0.1768,-0.1221
tree_frag_00643_v1,frag_00643,class_004,hybrid_optimized_tree,"[""variance_explanation""]",1.0,21.0,0.857,1.0,0.1718,-0.1271
tree_frag_00645_v1,frag_00645,class_005,hybrid_optimized_tree,"[""threshold_lookup"", ""variance_explanation""]",1.447,17.7,0.75,1.0,0.2025,-0.045
tree_frag_00648_v1,frag_00648,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00650_v1,frag_00650,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,10.0,0.857,1.0,0.1108,-0.1881
tree_frag_00651_v1,frag_00651,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,12.0,0.857,1.0,0.1128,-0.1861
tree_frag_00656_v1,frag_00656,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00661_v1,frag_00661,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00662_v1,frag_00662,class_004,hybrid_optimized_tree,"[""metric_lookup"", ""variance_explanation""]",1.837,22.1,0.75,1.0,0.2124,-0.0351
tree_frag_00663_v1,frag_00663,class_003,hybrid_optimized_tree,"[""metric_lookup"", ""variance_explanation""]",1.837,18.2,0.75,1.0,0.2085,-0.039
tree_frag_00664_v1,frag_00664,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
tree_frag_00665_v1,frag_00665,class_004,hybrid_optimized_tree,"[""metric_lookup"", ""variance_explanation""]",1.837,22.1,0.75,1.0,0.2124,-0.0351
tree_frag_00666_v1,frag_00666,class_001,hybrid_optimized_tree,"[""metric_lookup"", ""rule_lookup"", ""variance_explanation""]",1.504,22.1,0.75,1.0,0.2065,-0.0335
tree_frag_00667_v1,frag_00667,class_003,question_intent_tree,"[""metric_lookup"", ""variance_explanation""]",2.0,25.1,0.75,1.0,0.2343,0.0018
tree_frag_00668_v1,frag_00668,class_003,question_intent_tree,"[""metric_lookup""]",2.0,20.0,0.75,1.0,0.2217,-0.0333
tree_frag_00671_v1,frag_00671,class_005,hybrid_optimized_tree,"[""threshold_lookup""]",1.0,10.0,0.857,1.0,0.1108,-0.1881
tree_frag_00685_v1,frag_00685,class_003,hybrid_optimized_tree,"[""metric_lookup"", ""variance_explanation""]",1.679,22.6,0.75,1.0,0.2155,-0.032
tree_frag_00686_v1,frag_00686,class_005,hybrid_optimized_tree,"[""metric_lookup"", ""threshold_lookup""]",1.457,15.0,0.75,1.0,0.1731,-0.0744
tree_frag_00691_v1,frag_00691,class_001,hybrid_optimized_tree,"[""applicability_check"", ""rule_lookup""]",1.348,27.7,0.75,1.0,0.209,-0.0385
tree_frag_00697_v1,frag_00697,class_005,hybrid_optimized_tree,"[""applicability_check"", ""metric_lookup"", ""rule_lookup"", ""threshold_lookup""]",1.696,23.4,0.75,1.0,0.2319,0.0294
tree_frag_00698_v1,frag_00698,class_003,question_intent_tree,"[""metric_lookup""]",2.0,22.0,0.75,1.0,0.2237,-0.0313
tree_frag_00699_v1,frag_00699,class_003,question_intent_tree,"[""metric_lookup""]",2.0,22.0,0.75,1.0,0.2237,-0.0313
tree_frag_00701_v1,frag_00701,class_001,question_intent_tree,"[""exception_lookup""]",2.0,19.0,0.75,1.0,0.2207,-0.0343
